play_id,play_name,play_family,play_type,run_scheme,run_modifier,pass_concept,pass_modifier,protection,rpo_tag,play_action,formation_id,personnel,beats_front,beats_coverage,beats_pressure,beats_box,preferred_down_distance,preferred_field_zone,tags
power_dbls,Power DBLS,run,run,power,none,none,none,none,none,false,gun_1rb_2x2_spread_no_te,10,even;over;under,none,none,light_box;normal_box,early_down;second_short;third_short;fourth_short,any,inside_run;gap_scheme
power_dot,Power DOT,run,run,power,none,none,none,none,none,false,gun_1rb_2x2_spread_te_off,11,even;over;under,none,none,light_box;normal_box,early_down;second_short;third_short;fourth_short,any,inside_run;gap_scheme
power_deuce,Power DEUCE,run,run,power,none,none,none,none,none,false,gun_1rb_2x2_spread_te_on,11,even;over;under,none,none,light_box;normal_box,early_down;second_short;third_short;fourth_short,any,inside_run;gap_scheme
power_tango,Power TANGO,run,run,power,none,none,none,none,none,false,gun_1rb_3x1_spread_y_middle,10,even;over;under,none,none,light_box;normal_box,early_down;second_short;third_short;fourth_short,any,inside_run;gap_scheme
power_trips,Power TRIPS,run,run,power,none,none,none,none,none,false,gun_1rb_3x1_spread_no_te,10,even;over;under,none,none,light_box;normal_box,early_down;second_short;third_short;fourth_short,any,inside_run;gap_scheme
power_top,Power TOP,run,run,power,none,none,none,none,none,false,gun_1rb_3x1_spread_te_off,11,even;over;under,none,none,light_box;normal_box,early_down;second_short;third_short;fourth_short,any,inside_run;gap_scheme
power_trey,Power TREY,run,run,power,none,none,none,none,none,false,gun_1rb_3x1_spread_te_on,11,even;over;under,none,none,light_box;normal_box,early_down;second_short;third_short;fourth_short,any,inside_run;gap_scheme
power_frog,Power FROG,run,run,power,none,none,none,none,none,false,gun_1rb_3x1_spread_te_attached_away,11,even;over;under,none,none,light_box;normal_box,early_down;second_short;third_short;fourth_short,any,inside_run;gap_scheme
power_wing,Power WING,run,run,power,none,none,none,none,none,false,gun_1rb_2x2_spread_wing,12,even;over;under,none,none,light_box;normal_box,early_down;second_short;third_short;fourth_short,any,inside_run;gap_scheme
power_bunch,Power BUNCH,run,run,power,none,none,none,none,none,false,gun_1rb_3x1_bunch_te_on,11,even;over;under,none,none,light_box;normal_box,early_down;second_short;third_short;fourth_short,any,inside_run;gap_scheme
gtcounter_dbls,GT Counter DBLS,run,run,counter,gt,none,none,none,none,false,gun_1rb_2x2_spread_no_te,10,even;over;under,none,none,light_box;normal_box,early_down;second_short;third_short;fourth_short,any,gap_scheme;pullers
gtcounter_dot,GT Counter DOT,run,run,counter,gt,none,none,none,none,false,gun_1rb_2x2_spread_te_off,11,even;over;under,none,none,light_box;normal_box,early_down;second_short;third_short;fourth_short,any,gap_scheme;pullers
gtcounter_deuce,GT Counter DEUCE,run,run,counter,gt,none,none,none,none,false,gun_1rb_2x2_spread_te_on,11,even;over;under,none,none,light_box;normal_box,early_down;second_short;third_short;fourth_short,any,gap_scheme;pullers
gtcounter_tango,GT Counter TANGO,run,run,counter,gt,none,none,none,none,false,gun_1rb_3x1_spread_y_middle,10,even;over;under,none,none,light_box;normal_box,early_down;second_short;third_short;fourth_short,any,gap_scheme;pullers
gtcounter_trips,GT Counter TRIPS,run,run,counter,gt,none,none,none,none,false,gun_1rb_3x1_spread_no_te,10,even;over;under,none,none,light_box;normal_box,early_down;second_short;third_short;fourth_short,any,gap_scheme;pullers
gtcounter_top,GT Counter TOP,run,run,counter,gt,none,none,none,none,false,gun_1rb_3x1_spread_te_off,11,even;over;under,none,none,light_box;normal_box,early_down;second_short;third_short;fourth_short,any,gap_scheme;pullers
gtcounter_trey,GT Counter TREY,run,run,counter,gt,none,none,none,none,false,gun_1rb_3x1_spread_te_on,11,even;over;under,none,none,light_box;normal_box,early_down;second_short;third_short;fourth_short,any,gap_scheme;pullers
gtcounter_bunch,GT Counter BUNCH,run,run,counter,gt,none,none,none,none,false,gun_1rb_3x1_bunch_te_on,11,even;over;under,none,none,light_box;normal_box,early_down;second_short;third_short;fourth_short,any,gap_scheme;pullers
izone_dbls,Inside Zone DBLS,run,run,inside_zone,none,none,none,none,none,false,gun_1rb_2x2_spread_no_te,10,even;odd;over;under,none,none,light_box;normal_box,early_down;second_short;third_short;fourth_short,any,inside_run;zone_scheme
izone_dot,Inside Zone DOT,run,run,inside_zone,none,none,none,none,none,false,gun_1rb_2x2_spread_te_off,11,even;odd;over;under,none,none,light_box;normal_box,early_down;second_short;third_short;fourth_short,any,inside_run;zone_scheme
